"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 24 20:02:19 GMT 2024","Wed Apr 24 20:02:20 GMT 2024","600","","","","","","Successful login",""
"broken","Wed Apr 24 20:01:52 GMT 2024","Wed Apr 24 20:02:04 GMT 2024","11619","","","","","","Failed creating the project",""
"passed","Wed Apr 24 20:02:08 GMT 2024","Wed Apr 24 20:02:10 GMT 2024","1899","","","","","","Succsessful filling the summary field by boundary value",""
"passed","Wed Apr 24 20:02:17 GMT 2024","Wed Apr 24 20:02:18 GMT 2024","600","","","","","","IncorrectLogin",""
"passed","Wed Apr 24 20:01:51 GMT 2024","Wed Apr 24 20:01:51 GMT 2024","119","","","","","","AFE Get Project with non-existetnt id",""
"passed","Wed Apr 24 20:01:49 GMT 2024","Wed Apr 24 20:01:50 GMT 2024","1287","","","","","","Validation text in alert",""
"passed","Wed Apr 24 20:01:50 GMT 2024","Wed Apr 24 20:01:50 GMT 2024","181","","","","","","Api Post Test",""
"passed","Wed Apr 24 20:01:51 GMT 2024","Wed Apr 24 20:01:51 GMT 2024","124","","","","","","NFE Get Project",""
"passed","Wed Apr 24 20:02:11 GMT 2024","Wed Apr 24 20:02:13 GMT 2024","1369","","","","","","Succsessful filling the summary field by value > 80",""
"passed","Wed Apr 24 20:02:14 GMT 2024","Wed Apr 24 20:02:16 GMT 2024","2629","","","","","","Successful deleting project",""
"passed","Wed Apr 24 20:02:05 GMT 2024","Wed Apr 24 20:02:07 GMT 2024","1841","","","","","","Succsessful creating the project",""
"passed","Wed Apr 24 20:02:21 GMT 2024","Wed Apr 24 20:02:23 GMT 2024","2818","","","","","","Successful upload the file",""
"passed","Wed Apr 24 20:01:51 GMT 2024","Wed Apr 24 20:01:51 GMT 2024","92","","","","","","AFE Get Project with no auth",""
