"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Apr 23 21:35:16 GMT 2024","Tue Apr 23 21:35:16 GMT 2024","17","","","","","","Validation text in alert",""
"broken","Tue Apr 23 21:35:20 GMT 2024","Tue Apr 23 21:35:20 GMT 2024","2","","","","","","Succsessful filling the summary field by value > 80",""
"broken","Tue Apr 23 21:35:18 GMT 2024","Tue Apr 23 21:35:18 GMT 2024","0","","","","","","NFE Get Project",""
"broken","Tue Apr 23 21:35:21 GMT 2024","Tue Apr 23 21:35:21 GMT 2024","0","","","","","","Successful login",""
"broken","Tue Apr 23 21:35:22 GMT 2024","Tue Apr 23 21:35:22 GMT 2024","1","","","","","","Successful upload the file",""
"broken","Tue Apr 23 21:35:19 GMT 2024","Tue Apr 23 21:35:19 GMT 2024","2","","","","","","Succsessful creating the project",""
"broken","Tue Apr 23 21:35:21 GMT 2024","Tue Apr 23 21:35:21 GMT 2024","1","","","","","","Successful deleting project",""
"broken","Tue Apr 23 21:35:20 GMT 2024","Tue Apr 23 21:35:20 GMT 2024","4","","","","","","Succsessful filling the summary field by boundary value",""
"broken","Tue Apr 23 21:35:17 GMT 2024","Tue Apr 23 21:35:17 GMT 2024","173","","","","","","Api Post Test",""
"broken","Tue Apr 23 21:35:17 GMT 2024","Tue Apr 23 21:35:17 GMT 2024","2","","","","","","AFE Get Project with no auth",""
"broken","Tue Apr 23 21:35:18 GMT 2024","Tue Apr 23 21:35:18 GMT 2024","1","","","","","","AFE Get Project with non-existetnt id",""
"broken","Tue Apr 23 21:35:19 GMT 2024","Tue Apr 23 21:35:19 GMT 2024","1","","","","","","Failed creating the project",""
"broken","Tue Apr 23 21:35:21 GMT 2024","Tue Apr 23 21:35:21 GMT 2024","1","","","","","","IncorrectLogin",""
