"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 24 19:39:16 GMT 2024","Wed Apr 24 19:39:16 GMT 2024","477","","","","","","NFE Get Project",""
"passed","Wed Apr 24 19:39:15 GMT 2024","Wed Apr 24 19:39:15 GMT 2024","734","","","","","","AFE Get Project with no auth",""
"passed","Wed Apr 24 19:39:14 GMT 2024","Wed Apr 24 19:39:15 GMT 2024","298","","","","","","Api Post Test",""
"passed","Wed Apr 24 19:39:16 GMT 2024","Wed Apr 24 19:39:16 GMT 2024","181","","","","","","AFE Get Project with non-existetnt id",""
"passed","Wed Apr 24 19:39:18 GMT 2024","Wed Apr 24 19:39:20 GMT 2024","1919","","","","","","Succsessful creating the project",""
"passed","Wed Apr 24 19:39:33 GMT 2024","Wed Apr 24 19:39:33 GMT 2024","621","","","","","","Successful login",""
"passed","Wed Apr 24 19:39:24 GMT 2024","Wed Apr 24 19:39:26 GMT 2024","1326","","","","","","Succsessful filling the summary field by value > 80",""
"passed","Wed Apr 24 19:39:21 GMT 2024","Wed Apr 24 19:39:23 GMT 2024","1969","","","","","","Succsessful filling the summary field by boundary value",""
"passed","Wed Apr 24 19:39:31 GMT 2024","Wed Apr 24 19:39:31 GMT 2024","638","","","","","","IncorrectLogin",""
"passed","Wed Apr 24 19:39:13 GMT 2024","Wed Apr 24 19:39:14 GMT 2024","1127","","","","","","Validation text in alert",""
"passed","Wed Apr 24 19:39:27 GMT 2024","Wed Apr 24 19:39:29 GMT 2024","2688","","","","","","Successful deleting project",""
"passed","Wed Apr 24 19:39:35 GMT 2024","Wed Apr 24 19:39:37 GMT 2024","2888","","","","","","Successful upload the file",""
