"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 24 19:45:09 GMT 2024","Wed Apr 24 19:45:09 GMT 2024","160","","","","","","AFE Get Project with non-existetnt id",""
"passed","Wed Apr 24 19:45:33 GMT 2024","Wed Apr 24 19:45:36 GMT 2024","2699","","","","","","Successful deleting project",""
"passed","Wed Apr 24 19:45:39 GMT 2024","Wed Apr 24 19:45:39 GMT 2024","619","","","","","","Successful login",""
"passed","Wed Apr 24 19:45:24 GMT 2024","Wed Apr 24 19:45:26 GMT 2024","1920","","","","","","Succsessful creating the project",""
"passed","Wed Apr 24 19:45:41 GMT 2024","Wed Apr 24 19:45:44 GMT 2024","2902","","","","","","Successful upload the file",""
"passed","Wed Apr 24 19:45:09 GMT 2024","Wed Apr 24 19:45:09 GMT 2024","139","","","","","","AFE Get Project with no auth",""
"passed","Wed Apr 24 19:45:08 GMT 2024","Wed Apr 24 19:45:08 GMT 2024","249","","","","","","Api Post Test",""
"passed","Wed Apr 24 19:45:09 GMT 2024","Wed Apr 24 19:45:09 GMT 2024","169","","","","","","NFE Get Project",""
"passed","Wed Apr 24 19:45:07 GMT 2024","Wed Apr 24 19:45:08 GMT 2024","1216","","","","","","Validation text in alert",""
"passed","Wed Apr 24 19:45:37 GMT 2024","Wed Apr 24 19:45:37 GMT 2024","648","","","","","","IncorrectLogin",""
"passed","Wed Apr 24 19:45:27 GMT 2024","Wed Apr 24 19:45:29 GMT 2024","1959","","","","","","Succsessful filling the summary field by boundary value",""
"broken","Wed Apr 24 19:45:11 GMT 2024","Wed Apr 24 19:45:22 GMT 2024","11690","","","","","","Failed creating the project",""
"passed","Wed Apr 24 19:45:30 GMT 2024","Wed Apr 24 19:45:32 GMT 2024","1340","","","","","","Succsessful filling the summary field by value > 80",""
