"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Apr 23 21:30:12 GMT 2024","Tue Apr 23 21:30:12 GMT 2024","2","","","","","","AFE Get Project with no auth",""
"broken","Tue Apr 23 21:30:16 GMT 2024","Tue Apr 23 21:30:16 GMT 2024","1","","","","","","Successful login",""
"broken","Tue Apr 23 21:30:15 GMT 2024","Tue Apr 23 21:30:15 GMT 2024","1","","","","","","Succsessful filling the summary field by value > 80",""
"broken","Tue Apr 23 21:30:15 GMT 2024","Tue Apr 23 21:30:15 GMT 2024","1","","","","","","Successful deleting project",""
"broken","Tue Apr 23 21:30:16 GMT 2024","Tue Apr 23 21:30:16 GMT 2024","1","","","","","","IncorrectLogin",""
"broken","Tue Apr 23 21:30:14 GMT 2024","Tue Apr 23 21:30:14 GMT 2024","1","","","","","","Succsessful creating the project",""
"broken","Tue Apr 23 21:30:13 GMT 2024","Tue Apr 23 21:30:13 GMT 2024","1","","","","","","Failed creating the project",""
"broken","Tue Apr 23 21:30:12 GMT 2024","Tue Apr 23 21:30:12 GMT 2024","86","","","","","","Api Post Test",""
"broken","Tue Apr 23 21:30:13 GMT 2024","Tue Apr 23 21:30:13 GMT 2024","1","","","","","","AFE Get Project with non-existetnt id",""
"broken","Tue Apr 23 21:30:11 GMT 2024","Tue Apr 23 21:30:11 GMT 2024","17","","","","","","Validation text in alert",""
"broken","Tue Apr 23 21:30:13 GMT 2024","Tue Apr 23 21:30:13 GMT 2024","1","","","","","","NFE Get Project",""
"broken","Tue Apr 23 21:30:14 GMT 2024","Tue Apr 23 21:30:14 GMT 2024","3","","","","","","Succsessful filling the summary field by boundary value",""
"broken","Tue Apr 23 21:30:16 GMT 2024","Tue Apr 23 21:30:16 GMT 2024","1","","","","","","Successful upload the file",""
