"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 24 19:37:16 GMT 2024","Wed Apr 24 19:37:16 GMT 2024","652","","","","","","Successful login",""
"passed","Wed Apr 24 19:37:08 GMT 2024","Wed Apr 24 19:37:09 GMT 2024","1365","","","","","","Succsessful filling the summary field by value > 80",""
"passed","Wed Apr 24 19:36:57 GMT 2024","Wed Apr 24 19:36:58 GMT 2024","1369","","","","","","Validation text in alert",""
"passed","Wed Apr 24 19:36:59 GMT 2024","Wed Apr 24 19:36:59 GMT 2024","162","","","","","","AFE Get Project with non-existetnt id",""
"passed","Wed Apr 24 19:37:18 GMT 2024","Wed Apr 24 19:37:21 GMT 2024","2940","","","","","","Successful upload the file",""
"passed","Wed Apr 24 19:36:59 GMT 2024","Wed Apr 24 19:36:59 GMT 2024","131","","","","","","AFE Get Project with no auth",""
"failed","Wed Apr 24 19:37:10 GMT 2024","Wed Apr 24 19:37:12 GMT 2024","2160","","","","","","Successful deleting project",""
"passed","Wed Apr 24 19:36:58 GMT 2024","Wed Apr 24 19:36:59 GMT 2024","279","","","","","","Api Post Test",""
"passed","Wed Apr 24 19:37:01 GMT 2024","Wed Apr 24 19:37:03 GMT 2024","1926","","","","","","Succsessful creating the project",""
"passed","Wed Apr 24 19:37:00 GMT 2024","Wed Apr 24 19:37:00 GMT 2024","187","","","","","","NFE Get Project",""
"passed","Wed Apr 24 19:37:04 GMT 2024","Wed Apr 24 19:37:06 GMT 2024","2013","","","","","","Succsessful filling the summary field by boundary value",""
"passed","Wed Apr 24 19:37:14 GMT 2024","Wed Apr 24 19:37:14 GMT 2024","612","","","","","","IncorrectLogin",""
