"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Apr 23 19:29:00 GMT 2024","Tue Apr 23 19:29:00 GMT 2024","4","","","","","","Succsessful filling the summary field by boundary value",""
"broken","Tue Apr 23 19:28:57 GMT 2024","Tue Apr 23 19:28:58 GMT 2024","236","","","","","","Api Post Test",""
"broken","Tue Apr 23 19:29:01 GMT 2024","Tue Apr 23 19:29:01 GMT 2024","1","","","","","","Successful deleting project",""
"broken","Tue Apr 23 19:29:01 GMT 2024","Tue Apr 23 19:29:01 GMT 2024","1","","","","","","IncorrectLogin",""
"broken","Tue Apr 23 19:28:58 GMT 2024","Tue Apr 23 19:28:58 GMT 2024","1","","","","","","AFE Get Project with non-existetnt id",""
"broken","Tue Apr 23 19:29:00 GMT 2024","Tue Apr 23 19:29:00 GMT 2024","1","","","","","","Succsessful filling the summary field by value > 80",""
"broken","Tue Apr 23 19:28:58 GMT 2024","Tue Apr 23 19:28:58 GMT 2024","2","","","","","","AFE Get Project with no auth",""
"broken","Tue Apr 23 19:29:02 GMT 2024","Tue Apr 23 19:29:02 GMT 2024","1","","","","","","Successful upload the file",""
"broken","Tue Apr 23 19:28:59 GMT 2024","Tue Apr 23 19:28:59 GMT 2024","1","","","","","","Failed creating the project",""
"broken","Tue Apr 23 19:29:00 GMT 2024","Tue Apr 23 19:29:00 GMT 2024","1","","","","","","Succsessful creating the project",""
"broken","Tue Apr 23 19:29:02 GMT 2024","Tue Apr 23 19:29:02 GMT 2024","1","","","","","","Successful login",""
"broken","Tue Apr 23 19:28:57 GMT 2024","Tue Apr 23 19:28:57 GMT 2024","17","","","","","","Validation text in alert",""
"broken","Tue Apr 23 19:28:59 GMT 2024","Tue Apr 23 19:28:59 GMT 2024","0","","","","","","NFE Get Project",""
