"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 23 21:47:37 GMT 2024","Tue Apr 23 21:47:37 GMT 2024","590","","","","","","Successful login",""
"passed","Tue Apr 23 21:47:09 GMT 2024","Tue Apr 23 21:47:10 GMT 2024","140","","","","","","NFE Get Project",""
"broken","Tue Apr 23 21:47:11 GMT 2024","Tue Apr 23 21:47:22 GMT 2024","11543","","","","","","Failed creating the project",""
"passed","Tue Apr 23 21:47:23 GMT 2024","Tue Apr 23 21:47:25 GMT 2024","1833","","","","","","Succsessful creating the project",""
"passed","Tue Apr 23 21:47:08 GMT 2024","Tue Apr 23 21:47:09 GMT 2024","224","","","","","","Api Post Test",""
"passed","Tue Apr 23 21:47:35 GMT 2024","Tue Apr 23 21:47:36 GMT 2024","573","","","","","","IncorrectLogin",""
"passed","Tue Apr 23 21:47:29 GMT 2024","Tue Apr 23 21:47:30 GMT 2024","1281","","","","","","Succsessful filling the summary field by value > 80",""
"passed","Tue Apr 23 21:47:26 GMT 2024","Tue Apr 23 21:47:28 GMT 2024","1871","","","","","","Succsessful filling the summary field by boundary value",""
"passed","Tue Apr 23 21:47:09 GMT 2024","Tue Apr 23 21:47:09 GMT 2024","98","","","","","","AFE Get Project with non-existetnt id",""
"passed","Tue Apr 23 21:47:32 GMT 2024","Tue Apr 23 21:47:34 GMT 2024","2627","","","","","","Successful deleting project",""
"passed","Tue Apr 23 21:47:07 GMT 2024","Tue Apr 23 21:47:08 GMT 2024","1150","","","","","","Validation text in alert",""
"passed","Tue Apr 23 21:47:39 GMT 2024","Tue Apr 23 21:47:41 GMT 2024","2863","","","","","","Successful upload the file",""
"passed","Tue Apr 23 21:47:09 GMT 2024","Tue Apr 23 21:47:09 GMT 2024","119","","","","","","AFE Get Project with no auth",""
