"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 22 19:20:13 GMT 2024","Mon Apr 22 19:20:13 GMT 2024","294","","","","","","Api Post Test",""
"passed","Mon Apr 22 19:20:14 GMT 2024","Mon Apr 22 19:20:15 GMT 2024","188","","","","","","NFE Get Project",""
"passed","Mon Apr 22 19:20:32 GMT 2024","Mon Apr 22 19:20:34 GMT 2024","1895","","","","","","Succsessful filling the summary field by boundary value",""
"passed","Mon Apr 22 19:20:50 GMT 2024","Mon Apr 22 19:20:50 GMT 2024","621","","","","","","IncorrectLogin",""
"passed","Mon Apr 22 19:20:36 GMT 2024","Mon Apr 22 19:20:44 GMT 2024","8348","","","","","","Succsessful filling the summary field by value > 80",""
"passed","Mon Apr 22 19:20:14 GMT 2024","Mon Apr 22 19:20:14 GMT 2024","139","","","","","","AFE Get Project with no auth",""
"passed","Mon Apr 22 19:20:52 GMT 2024","Mon Apr 22 19:20:52 GMT 2024","614","","","","","","Successful login",""
"passed","Mon Apr 22 19:20:11 GMT 2024","Mon Apr 22 19:20:13 GMT 2024","1256","","","","","","Validation text in alert",""
"passed","Mon Apr 22 19:20:46 GMT 2024","Mon Apr 22 19:20:48 GMT 2024","2619","","","","","","Successful deleting project",""
"passed","Mon Apr 22 19:20:14 GMT 2024","Mon Apr 22 19:20:14 GMT 2024","148","","","","","","AFE Get Project with non-existetnt id",""
"passed","Mon Apr 22 19:20:54 GMT 2024","Mon Apr 22 19:20:57 GMT 2024","2878","","","","","","Successful upload the file",""
"broken","Mon Apr 22 19:20:16 GMT 2024","Mon Apr 22 19:20:28 GMT 2024","11521","","","","","","Failed creating the project",""
"passed","Mon Apr 22 19:20:29 GMT 2024","Mon Apr 22 19:20:31 GMT 2024","1878","","","","","","Succsessful creating the project",""
