"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 23 21:42:31 GMT 2024","Tue Apr 23 21:42:34 GMT 2024","2871","","","","","","Successful upload the file",""
"passed","Tue Apr 23 21:42:03 GMT 2024","Tue Apr 23 21:42:03 GMT 2024","106","","","","","","AFE Get Project with non-existetnt id",""
"passed","Tue Apr 23 21:42:28 GMT 2024","Tue Apr 23 21:42:28 GMT 2024","562","","","","","","IncorrectLogin",""
"passed","Tue Apr 23 21:42:17 GMT 2024","Tue Apr 23 21:42:19 GMT 2024","1834","","","","","","Succsessful creating the project",""
"passed","Tue Apr 23 21:42:20 GMT 2024","Tue Apr 23 21:42:21 GMT 2024","1897","","","","","","Succsessful filling the summary field by boundary value",""
"failed","Tue Apr 23 21:42:25 GMT 2024","Tue Apr 23 21:42:27 GMT 2024","2127","","","","","","Successful deleting project",""
"passed","Tue Apr 23 21:42:02 GMT 2024","Tue Apr 23 21:42:02 GMT 2024","82","","","","","","AFE Get Project with no auth",""
"passed","Tue Apr 23 21:42:00 GMT 2024","Tue Apr 23 21:42:02 GMT 2024","1396","","","","","","Validation text in alert",""
"passed","Tue Apr 23 21:42:29 GMT 2024","Tue Apr 23 21:42:30 GMT 2024","585","","","","","","Successful login",""
"passed","Tue Apr 23 21:42:03 GMT 2024","Tue Apr 23 21:42:03 GMT 2024","93","","","","","","NFE Get Project",""
"broken","Tue Apr 23 21:42:04 GMT 2024","Tue Apr 23 21:42:16 GMT 2024","11622","","","","","","Failed creating the project",""
"passed","Tue Apr 23 21:42:22 GMT 2024","Tue Apr 23 21:42:24 GMT 2024","1299","","","","","","Succsessful filling the summary field by value > 80",""
"passed","Tue Apr 23 21:42:02 GMT 2024","Tue Apr 23 21:42:02 GMT 2024","202","","","","","","Api Post Test",""
