"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 24 18:37:08 GMT 2024","Wed Apr 24 18:37:09 GMT 2024","206","","","","","","NFE Get Project",""
"passed","Wed Apr 24 18:37:23 GMT 2024","Wed Apr 24 18:37:25 GMT 2024","1904","","","","","","Succsessful creating the project",""
"passed","Wed Apr 24 18:37:32 GMT 2024","Wed Apr 24 18:37:35 GMT 2024","2729","","","","","","Successful deleting project",""
"passed","Wed Apr 24 18:37:07 GMT 2024","Wed Apr 24 18:37:07 GMT 2024","289","","","","","","Api Post Test",""
"passed","Wed Apr 24 18:37:38 GMT 2024","Wed Apr 24 18:37:39 GMT 2024","671","","","","","","Successful login",""
"passed","Wed Apr 24 18:37:29 GMT 2024","Wed Apr 24 18:37:31 GMT 2024","1414","","","","","","Succsessful filling the summary field by value > 80",""
"passed","Wed Apr 24 18:37:36 GMT 2024","Wed Apr 24 18:37:37 GMT 2024","636","","","","","","IncorrectLogin",""
"passed","Wed Apr 24 18:37:07 GMT 2024","Wed Apr 24 18:37:08 GMT 2024","821","","","","","","AFE Get Project with non-existetnt id",""
"broken","Wed Apr 24 18:37:10 GMT 2024","Wed Apr 24 18:37:22 GMT 2024","11626","","","","","","Failed creating the project",""
"passed","Wed Apr 24 18:37:26 GMT 2024","Wed Apr 24 18:37:28 GMT 2024","1997","","","","","","Succsessful filling the summary field by boundary value",""
"passed","Wed Apr 24 18:37:40 GMT 2024","Wed Apr 24 18:37:43 GMT 2024","2918","","","","","","Successful upload the file",""
"passed","Wed Apr 24 18:37:05 GMT 2024","Wed Apr 24 18:37:06 GMT 2024","1161","","","","","","Validation text in alert",""
"passed","Wed Apr 24 18:37:07 GMT 2024","Wed Apr 24 18:37:07 GMT 2024","164","","","","","","AFE Get Project with no auth",""
